country,code,forest_area,rural_pop,access_electricity,pop_growth,GDP_growth,working_age_pop,life_expectancy
Aruba,ABW,2.33333333,56.303,100,0.1342553,-24.084569,67.7120032,75.723
Africa Eastern and Southern,AFE,30.1742527,63.1716976,46.2686206,2.67818372,-5.3343579,55.2352001,63.3138603
Afghanistan,AFG,1.85278199,73.974,97.7,3.13474691,-5.3646659,53.7751348,62.575
Africa Western and Central,AFW,19.8167774,52.142169,51.734388,2.61564614,-3.4632222,53.7836969,57.2263727
Angola,AGO,53.4269512,33.175,46.9554443,3.2683484,-8.6724321,52.1034231,62.261
Albania,ALB,28.7919708,37.888,100,-0.574207,-2.7452387,67.7063682,76.989
Andorra,AND,34.0425532,12.084,100,1.7618913,-12.735078,72.470399,
Arab World,ARB,2.80889526,40.912381,90.63505,1.75789901,-6.6886052,62.3016653,70.9233596
United Arab Emirates,ARE,4.46775556,12.952,100,0.81769439,-5.7310445,83.4050389,78.946
Argentina,ARG,10.4407149,7.889,100,0.97005399,-10.770273,64.6161478,75.892
Armenia,ARM,11.5374078,36.687,100,-0.5330066,-6.7040493,67.2487804,72.173
American Samoa,ASM,85.65,12.847,,-2.4212497,6.97068821,65.3478101,
Antigua and Barbuda,ATG,18.4545455,75.567,100,0.59205394,-19.359252,71.1128378,78.841
Australia,AUS,17.4213146,13.759,100,1.23342825,-1.5564363,65.2246789,83.2
Austria,AUT,47.2509695,41.252,100,0.41517673,-7.019826,66.4473527,81.1926829
Azerbaijan,AZE,13.6941897,43.603,100,0.68436533,-4.9527017,69.3043798,66.868
Burundi,BDI,10.8894081,86.292,9.1,2.8670822,-2.5084612,50.8129984,61.566
Belgium,BEL,22.7642008,1.921,100,0.43099682,-5.6682235,63.9988837,80.695122
Benin,BEN,27.8037425,51.585,40.9859314,2.82913811,0.95193786,54.1984761,60.088
Burkina Faso,BFA,22.7207602,69.393,18.4672794,2.68878767,-0.7819606,53.001065,59.731
Bangladesh,BGD,14.4687716,61.823,96.2,1.14420974,2.27110928,67.3848587,71.968
Bulgaria,BGR,35.8603537,24.314,99.7,-0.6002415,-3.3879877,63.7158377,73.6585366
Bahrain,BHR,0.89171975,10.494,100,-1.1252427,-3.5655986,76.5039063,79.174
"Bahamas, The",BHS,50.9350649,16.755,100,0.47199444,-23.868288,71.5545862,72.677
Bosnia and Herzegovina,BIH,42.7326172,50.98,100,-1.266771,-1.7787039,67.3330958,76.225
Belarus,BLR,43.1944034,20.517,100,-0.4234753,-0.2513866,66.6075394,72.4572195
Belize,BLZ,55.9864095,53.975,96.8076248,1.48622152,-15.004349,66.4179246,72.854
Bermuda,BMU,18.5185185,0,100,-0.0281681,-6.8117095,66.0482114,81.136
Bolivia,BOL,46.9249146,29.877,97.221817,1.33973922,-9.9524048,63.6195579,64.467
Brazil,BRA,59.4174781,12.927,99.702713,0.66517668,-3.9180042,69.8744739,74.009
Barbados,BRB,14.6511628,68.809,100,0.18292916,-12.897471,67.4705105,77.393
Brunei Darussalam,BRN,72.1062619,21.75,100,0.83590231,0.29171892,71.8948441,74.795
