country,malaria_deaths,population
Afghanistan,110,38972236
Africa,0,1360677453
Africa (UN),0,1360677248
Africa (WHO),599400,0
Albania,0,2866850
Algeria,0,43451668
American Samoa,0,46216
Americas (WHO),418,0
Andorra,0,77723
Angola,14853,33428490
Anguilla,0,15612
Antigua and Barbuda,0,92672
Argentina,0,45036032
Armenia,0,2805610
Aruba,0,106597
Asia,0,4663086623
Asia (UN),0,4664324096
Australia,0,25670052
Austria,0,8907780
Azerbaijan,0,10284952
Bahamas,0,406478
Bahrain,0,1477478
Bangladesh,15,167420944
Barbados,0,280704
Belarus,0,9633745
Belgium,0,11561716
Belize,0,394931
Benin,10585,12643121
Bermuda,0,64051
Bhutan,0,772512
Bolivia,6,11936169
Bonaire Sint Eustatius and Saba,0,26178
Bosnia and Herzegovina,0,3318410
Botswana,4,2546404
Brazil,51,213196304
British Virgin Islands,0,30934
Brunei,0,441736
Bulgaria,0,6979181
Burkina Faso,21402,21522632
Burundi,5792,12220229
Cambodia,27,16396864
Cameroon,14505,26491090
Canada,0,37888704
Cape Verde,0,582646
Cayman Islands,0,67327
Central African Republic,5130,5343024
Chad,12190,16644707
Chile,0,19300318
China,0,1424929792
Colombia,5,50930656
Comoros,11,806168
Congo,2279,5702183
Cook Islands,0,17050
Costa Rica,0,5123107
Cote d'Ivoire,15110,26811792
Croatia,0,4096872
Cuba,0,11300695
Curacao,0,189298
Cyprus,0,1237540
Czechia,0,10530951
Democratic Republic of Congo,78709,92853168
Denmark,0,5825638
Djibouti,126,1090162
Dominica,0,72011
Dominican Republic,2,10999668
East Timor,0,1299998
Eastern Mediterranean (WHO),12727,0
Ecuador,3,17588596
Egypt,0,107465128
El Salvador,0,6292734
Equatorial Guinea,766,1596057
Eritrea,372,3555869
Estonia,0,1329449
Eswatini,0,1180663
Ethiopia,9424,117190920
Europe,0,747462669
Europe (UN),0,746225344
Europe (WHO),0,0
European Union (27),0,445290493
Falkland Islands,0,3764
Faroe Islands,0,52440
Fiji,0,920430
Finland,0,5529468
France,0,64480052
French Guiana,0,290978
French Polynesia,0,301935
Gabon,385,2292583
Gambia,608,2574005
Georgia,0,3765912
Germany,0,83328992
Ghana,12516,32180402
Gibraltar,0,32739
Greece,0,10512232
Greenland,0,56049
Grenada,0,123672
Guadeloupe,0,395649
Guam,0,169245
Guatemala,0,17362716
Guernsey,0,62823
Guinea,9954,13205157
Guinea-Bissau,969,2015839
Guyana,28,797207
Haiti,104,11306804
High-income countries,0,1218093003
Honduras,0,10121762
Hong Kong,0,7500955
Hungary,0,9750571
Iceland,0,366682
India,7316,1396387072
Indonesia,1415,271857984
Iran,0,87290192
Iraq,0,42556988
Ireland,0,4946123
Isle of Man,0,84063
Israel,0,8757487
Italy,0,59500576
Jamaica,0,2820438
Japan,0,125244760
Jersey,0,108332
Jordan,0,10928723
Kazakhstan,0,18979250
Kenya,11768,51985780
Kiribati,0,126473
Kosovo,0,1670702
Kuwait,0,4360451
Kyrgyzstan,0,6424880
Laos,7,7319397
Latin America and the Caribbean (UN),0,651836096
Latvia,0,1897057
Lebanon,0,5662924
Lesotho,0,2254104
Liberia,3931,5087591
Libya,0,6653946
Liechtenstein,0,38783
Lithuania,0,2820269
Low-income countries,0,680258922
Lower-middle-income countries,0,3369707355
Luxembourg,0,630401
Macao,0,676287
Madagascar,10265,28225182
Malawi,7400,19377058
Malaysia,0,33199988
Maldives,0,514451
Mali,20662,21224042
Malta,0,515364
Marshall Islands,0,43437
Martinique,0,370399
Mauritania,1129,4498605
Mauritius,0,1297830
Mayotte,0,305591
Mexico,0,125998296
Micronesia (country),0,112119
Moldova,0,3084848
Monaco,0,36943
Mongolia,0,3294340
Montenegro,0,629058
Montserrat,0,4526
Morocco,0,36688768
Mozambique,23693,31178242
Myanmar,77,53423200
Namibia,51,2489099
Nauru,0,12339
Nepal,0,29348626
Netherlands,0,17434562
New Caledonia,0,286412
New Zealand,0,5061130
Nicaragua,0,6755900
Niger,24068,24333644
Nigeria,195720,208327408
Niue,0,1963
North America,0,594263186
North Korea,0,25867474
North Macedonia,0,2111078
Northern America (UN),0,373956672
Northern Mariana Islands,0,49611
Norway,0,5379836
Oceania,0,43933757
Oceania (UN),0,43933424
Oman,0,4543406
Pakistan,454,227196736
Palau,0,17999
Palestine,0,5019407
Panama,0,4294391
Papua New Guinea,2962,9749641
Paraguay,0,6618700
Peru,23,33304768
Philippines,33,112190984
Poland,0,38428368
Portugal,0,10298186
Puerto Rico,0,3271570
Qatar,0,2760390
Reunion,0,957829
Romania,0,19442040
Russia,0,145617328
Rwanda,3205,13146367
Saint Barthelemy,0,10706
Saint Helena,0,5448
Saint Kitts and Nevis,0,47666
Saint Lucia,0,179245
Saint Martin (French part),0,32577
Saint Pierre and Miquelon,0,5930
Saint Vincent and the Grenadines,0,104644
Samoa,0,214934
San Marino,0,34038
Sao Tome and Principe,0,218650
Saudi Arabia,0,35997108
Senegal,4311,16436120
Serbia,0,7358010
Seychelles,0,105545
Sierra Leone,9020,8233973
Singapore,0,5909874
Sint Maarten (Dutch part),0,43638
Slovakia,0,5456681
Slovenia,0,2117648
Solomon Islands,123,691198
Somalia,2372,16537018
South Africa,38,58801928
South America,0,431530105
South Korea,0,51844688
South Sudan,7290,10606224
South-East Asia (WHO),8826,0
Spain,0,47363808
Sri Lanka,0,21715076
Sudan,7635,44440484
Suriname,0,607068
Sweden,0,10368968
Switzerland,0,8638609
Syria,0,20772602
Taiwan,0,23821468
Tajikistan,0,9543211
Tanzania,25464,61704520
Thailand,3,71475664
Togo,3745,8442583
Tokelau,0,1845
Tonga,0,105265
Trinidad and Tobago,0,1518142
Tunisia,0,12161720
Turkey,0,84135432
Turkmenistan,0,6250442
Turks and Caicos Islands,0,44297
Tuvalu,0,11090
Uganda,20279,44404608
Ukraine,0,43909664
United Arab Emirates,0,9287286
United Kingdom,0,67059472
United States,0,335942016
United States Virgin Islands,0,100452
Upper-middle-income countries,0,2541463877
Uruguay,0,3429087
Uzbekistan,0,33526662
Vanuatu,0,311694
Venezuela,196,28490458
Vietnam,2,96648680
Wallis and Futuna,0,11679
Western Pacific (WHO),3154,0
Western Sahara,0,556060
World,624525,7840952832
Yemen,2030,32284044
Zambia,8846,18927716
Zimbabwe,2951,15669663
